metab,sperm60,sperm84,sperm90,sperm92,sperm104,sperm105,sperm110,sperm119,sperm123,sperm131,sperm132,sperm144,sperm151,sperm154,sperm155,sperm160,sperm164,sperm169,sperm177
Fructose-6-phosphate,80562.08095,16378.93814,26918.30303,42046.6677,106284.7949,16729.46766,14259.85635,97613.25043,36033.88026,10428.38041,26233.01877,54113.19635,24940.86323,49248.05169,21320.56295,47921.36952,129478.5233,36032.00595,48290.74616
Ribose-5-phosphate,4656.096518,5000.763071,1019.246151,798.681139,7755.334385,1336.060941,666.8232209,7387.638484,1107.464996,1542.019002,895.7547347,3488.375446,1265.868888,3569.46238,1796.569404,2565.616778,2194.68115,5011.180129,2233.703722
Glucosamine-6-phosphate,31551.58011,17429.38752,9574.757084,8846.496488,28218.51625,9827.973964,8990.241831,20877.00637,8464.904518,23635.94979,11669.184,29780.73731,10128.30958,12841.95773,6516.217797,13474.88843,28285.13822,15824.40654,15212.73072
Malate,69923.47378,117252.988,35099.54853,61303.9014,128562.1531,114003.4627,37122.21343,106770.2696,42882.28812,183425.5645,96761.78847,103130.708,55077.78643,38215.99239,42060.38571,36957.28279,100478.0337,130536.5119,69270.92929
Glycolate,4048.872158,1956.810178,332.8241018,2733.878075,14217.70583,2063.034801,1725.121213,6996.741553,6370.490517,6093.809554,2350.000872,6581.874577,5007.885933,3115.075475,1019.091519,2840.810885,10307.75856,3110.46622,2034.092924
6-Phosphogluconate,1319.551472,4297.421973,1645.989231,1644.240472,6848.201417,3268.795712,1132.895953,7703.206721,2494.974506,5642.002646,6419.249082,3740.631701,1827.877179,2421.107068,1940.11727,2250.941669,6561.596533,6127.129741,3402.383959
Galactarate,1036.242549,2953.113136,338.3508701,437.0549474,2220.905458,1173.925466,359.3146988,1049.037232,528.9730071,1084.449512,516.6506748,2237.470022,1175.010745,1706.113805,466.3420877,727.389034,1441.871363,1634.031352,889.1592153
Tartarate,427.1219624,24197.13875,381.9625283,2283.424887,793.5772736,1091.812498,117.3971048,13407.12715,145.9515498,595.5624046,324.2011935,12317.76627,19081.79131,818.1427668,935.4764287,534.6015342,408.0960208,11432.63912,751.0713955
Isocitrate,43679.90735,50553.68528,18442.91026,12313.34645,47060.59263,27545.19036,14244.27151,43569.53104,16455.14402,39487.91822,33526.73853,50874.28023,23143.03856,17593.15763,12939.1848,22868.81726,40769.1564,46212.02186,24083.41497
Citrate,6419721.897,10051243.82,3244774.432,2450079.845,8545893.588,5984044.618,2358293.168,7388580.281,3315194.729,11844116.78,6667892.095,9129070.349,4382369.086,4093863.848,2696992.021,3964486.491,7498253.972,9210243.28,4771099.432
5-Hydroxylysine,56.35817918,54.13093514,32.81708693,21.57510136,168.7601741,34.20059768,35.35507336,207.5334683,71.4003932,66.1675562,74.79862106,98.81465535,80.66595153,71.16028965,37.83711856,60.30700828,142.5151549,42.27290226,59.8797276
