metab,sperm60,sperm84,sperm90,sperm92,sperm104,sperm105,sperm110,sperm119,sperm123,sperm131,sperm132,sperm144,sperm151,sperm154,sperm155,sperm160,sperm164,sperm169,sperm177
Proline,3464988.254,4445137.879,1793449.086,643311.8078,3670563.108,2841974.148,1075452.886,4585842.017,761425.7898,4027641.008,2261948.147,4040682.758,1907650.877,1506192.31,1084635.48,1510171.392,1605764.418,4174610.82,1741203.006
Galactitol,544258.203,284198.3644,150311.6767,54695.89746,104597.1009,210488.1192,108043.0659,555091.7348,113431.4954,215641.0309,267042.8011,500886.823,95715.79085,185782.5302,191198.8772,249431.0535,238755.6379,307895.9739,145823.6552
Homocysteine,255.7758317,327.4734518,111.8860804,152.3888091,242.6677638,257.4097092,128.9511747,336.3218487,105.7575692,386.2349528,309.7585587,335.0721291,148.4638573,178.4477034,97.49712365,162.6709723,338.9169077,462.1731232,247.6271315
Tyrosine,1320349.323,1472291.91,591360.9608,587700.7464,1119162.791,1119735.346,639940.9651,1459539.89,598660.4724,1796095.805,1770967.005,1689756.656,671989.7563,795688.4468,490366.6641,823004.343,1262711.94,1744395.614,1024860.167
cAMP,120.3319155,127.9160586,59.54919164,129.6504729,75.79640625,118.5075023,891.5871093,56.63018513,21693.93928,376.1605126,522.4207797,25126.26563,519.6877807,215.7122565,19015.72166,9565.75934,1145.435917,112.3323229,233.908167
4-Imidazoleacetate,11842.68478,53062.18498,6008.563035,1644.734144,6842.37348,7789.635547,3087.136816,22326.49262,1645.770705,39273.58997,5566.683559,16184.82015,2859.696381,6381.52637,5222.451106,9972.002967,3396.611762,12713.884,3848.133619
Creatine,12779500.99,14249265.77,5416470.32,5146867.776,16871832.74,10269978.43,5085154.331,15261023.74,6265726.863,19257809.41,12806224.72,15438422.84,6343838.385,6962053.867,4917880.854,7544754.754,10850263.52,16871875.95,8839550.893
Hypotaurine,1381.613745,640.9972573,304.807586,438.9146419,691.4706659,442.8100543,260.8656075,368.6871062,143.9460578,1294.537851,152.2100787,803.4770537,248.8607924,340.7319272,76.11796366,395.1048326,845.1877813,1561.245262,1128.793358
Alanine,510367.3345,859762.109,281344.087,98623.71666,674895.7419,419007.9787,184713.0928,751219.2604,163890.6165,1068318.686,540556.9752,597949.9703,288684.2448,292347.5119,200282.1064,294069.8729,201660.0331,676815.9247,246529.1518
4-Hydroxy-proline,141921.2158,150590.3408,61872.54865,54428.73709,179314.793,109446.0727,51563.69287,158236.7893,70497.34036,203904.8024,126880.5853,167220.663,69127.34855,78839.26006,47872.7464,76729.14974,122111.3953,165505.5439,96870.97501
Dopa,82.45687704,441.4780791,33.98360988,25.23354985,107.2758216,188.8127848,70.20652634,1222.856881,52.84748475,563.2082988,142.2158255,636.3746879,165.8262676,75.62461838,78.38253143,63.75724884,93.41725057,148.0208737,104.7121573
N-Methylglutamate,148.1478118,1440.033084,108.7467278,17.6233343,297.7202027,412.3671696,157.1899288,478.7651243,31.08534587,3082.112933,263.1239117,1471.849685,315.8043814,444.9886118,754.2943764,629.6243575,230.2629576,383.0578542,31.41851079
N-Alpha-acetyllysine,23908.41554,70383.84345,14236.32562,4273.156671,33728.40832,27068.67871,11240.46475,91362.29747,10040.3202,60152.10952,25900.10689,83954.64549,31178.20152,31065.13301,12292.86697,16557.02587,11416.82191,43136.94296,11702.21009
1-Aminocyclopropanecarboxylate,363553.2915,514675.6003,198069.301,70105.38752,398574.073,202878.9258,153307.1176,508523.4738,105502.9146,591721.6162,365552.6783,446016.7814,173351.3507,164304.0609,158081.4346,220639.7514,173726.3966,450476.852,188903.063
Aminoadipate,3082.929393,10245.60117,3177.648206,337.896968,2310.620842,6165.363965,1463.064605,4837.03361,897.9079587,11015.61325,2608.44527,6521.368107,2105.817768,1826.000133,1175.583255,2156.329454,742.7205406,11706.29581,1216.053456
Glycine,59694.18033,88780.64559,36142.516,12150.79227,70648.26148,45937.60359,26677.63662,103927.3809,24601.84002,111315.0947,68148.64153,84723.7499,36812.69714,35246.47204,26196.4404,39486.51686,29542.27421,88896.29823,35959.03697
"Cytidine2',3'-cyclicphosphate",1747.459672,1207.608922,430.5438733,184.3350199,1442.369286,2786.954123,711.3554742,2026.948985,901.3557664,2858.451182,1615.303937,2693.22062,2889.939944,1064.176001,524.1500054,1032.836749,667.2933602,2428.937244,287.8977065
Guanidinosuccinate,4094.335165,6935.589901,4356.694968,498.4954216,1727.621559,1463.954545,998.4212609,1159.30124,384.9682513,2769.329064,2203.162099,5512.289182,992.1235332,2249.753247,703.7649339,989.1265488,578.7912708,4590.394833,569.6517333
N-Methylaspartate,28024.69498,34816.79795,12832.37341,11812.88823,43022.35904,20976.2648,10489.80867,34485.31607,15059.63498,37538.48992,28494.98835,36921.86423,16674.81747,15654.27728,11364.64296,16125.42808,29356.08075,33559.68837,21710.84332
Glutamine,4912306.669,5987436.464,2121958.736,1828441.446,7306594.393,3442922.362,1775830.434,6003163.064,2614295.83,6662817.482,5039009.328,6377557.675,2844104.229,2831302.231,1996641.465,2856114.133,4980332.733,5905916.761,3800470.162
Serine,1140281.523,1507363.3,548997.8694,522377.5802,1412197.879,880755.2073,464869.4049,1567490.541,561148.4061,1710307.389,1137217.881,1602926.51,603481.6621,635180.881,444729.1348,691755.4872,1432875.278,1430356.9,877058.7999
Asparagine,222600.68,308982.5654,124445.6835,39465.46592,271983.9306,156084.3454,97427.45854,307965.5852,75644.60496,372881.8818,266390.5429,246643.139,126186.6728,132150.3514,95160.43383,128719.1404,83104.52912,344506.4237,107521.5533
Picolinate,140.2831014,86.420065,56.49012733,80.59674474,330.7383878,160.4636229,115.2585872,681.5627923,201.4321859,267.9182032,388.732911,518.9069706,205.179825,160.980733,145.999036,100.8183528,174.3595587,368.8052668,251.3553332
Citrulline,727.218033,353.7215842,928.7785159,746.0603082,3824.528204,2207.866311,177.8639131,19780.40271,1469.419885,749.2010324,1070.606692,2928.026256,217.0013643,345.5734113,515.0112052,503.7833857,641.4210987,1592.393752,230.6402403
S-Adenosylhomocysteine,774.4609156,499.0129773,215.2689208,252.0400848,461.9105852,270.4096622,288.888693,640.0372138,202.3154748,652.4669823,728.130313,1022.008537,285.9152303,313.2630449,187.0754834,341.1858074,697.9008465,495.8232221,376.1086561
Glucosamine,2884.404334,8348.743813,3058.95198,2521.670216,3505.328481,2623.993951,882.2004134,6426.899692,7673.34356,1348.947181,4450.30809,15911.7864,30832.51963,3193.243577,5829.402126,21907.59443,15098.29138,11985.61482,16185.56646
Dimethylarginine(SDMA/ADMA),232635.9033,293585.6999,82997.75219,41469.37651,264817.5229,113704.9095,39401.02643,550415.5528,32178.40232,249592.2354,88440.73879,344824.2399,249822.8895,222969.8441,59797.37743,91207.72136,113973.5697,193619.9269,37555.62415
3-Methylhistamine,24.53753469,71.86051938,8.086738171,8.138442974,9.779195302,604.0571385,5.112174588,1230.720099,35.87823381,18.11172533,40.41952291,64.44653525,93.62440228,25.65521451,33.74360313,53.88322054,50.30564497,70.42690496,58.87804426
1-Methyhistidine,50908.34901,257098.324,17045.17024,25136.56775,167141.0332,198250.0907,27497.79612,1196529.323,9858.207507,200798.9115,34433.47002,904930.7337,149282.0408,457705.6263,46582.6572,107251.7309,36569.55984,149826.4537,6717.376023
"N,N,N-Trimethyllysine",319132.0806,737143.6574,95472.80749,81883.39732,383872.2842,247745.9696,115162.8863,590399.9937,47967.68465,472554.413,84841.54684,1389467.391,225664.6849,464933.5855,51715.84335,132744.8254,187193.4026,398885.8364,103796.1618
Glucosaminate,63.902884,127.1686329,69.68882972,36.914968,50.80872253,7.04406412,7.090477815,110.7588804,245.7225398,40.45131943,30.85314438,465.0282911,638.5722225,39.41031923,148.9223633,289.0658844,420.6925083,209.5171609,817.6034179
Putrescine,981.98828,4930.977655,1478.582127,8311.191692,5368.390364,4022.725135,322.8281515,1683.291541,1391.47331,5194.956765,3162.999635,2206.209257,109708.5843,2275.222475,741.2682253,2098.376546,160458.6415,6488.054777,1339.780291
Agmatine,8787.486272,15568.13267,4816.211528,5352.158678,15808.52483,9160.917284,3736.732838,13307.91853,5346.444163,18654.2205,10295.81052,13266.35039,6206.115438,6383.084838,3880.477651,6621.55698,12294.64158,15385.70852,7058.984708
Arginine,7467689.694,11198965.4,3923602.4,3960456.095,13226374.23,7617222.529,2853134.671,9990954.909,4657435.817,14680231.83,8247948.998,10857841.45,4989006.894,4899482.034,2928951.281,4550353.683,11125545.86,12006419.48,6057226.068
Histidine,11531370.22,14040974.22,5642835.869,5105618.154,20539794.84,10106920.5,3837906.739,15112389.71,7410555.845,19559798.52,12541247.88,16078953.9,7064656.606,6321239.465,3545147.407,6935503.717,12993483.31,14142097.21,8888790.523
Lysine,4726625.466,8315630.569,2741066.166,1378005.034,9345278.238,5517939.351,1867557.64,7785181.003,2627627.67,10892609.92,6025958.005,6230761.342,3724877.71,3216174.957,1990987.639,3066038.289,3418237.005,8748917.283,3125596.546
Anserine,1291.685574,13990.10722,81.64261189,602.5937347,2954.172943,30528.49409,1123.986134,10404.03893,453.3131708,15180.09543,4783.067872,11544.4835,96.85022259,7213.230447,412.3146101,423.6855942,12641.02999,13144.44222,13683.56028
Carnosine,6439.906639,10751.90169,1444.304459,2225.423566,13083.10639,13974.74256,2716.534969,17668.31265,3058.115838,30947.4482,15416.06715,6572.474682,3728.635507,3983.99396,1578.890688,1670.061842,3050.588875,10293.72465,3573.795398
FAD,256.9281311,235.28135,131.7055158,88.21930856,150.1678099,145.2173525,131.9709582,306.6478484,77.59623895,255.775347,162.1955595,326.6150353,135.5753989,115.1520423,136.2390297,166.1700026,396.0389746,209.2834052,167.5265091
Noradrenaline,149.6354875,459.8841429,136.1134123,50.13614689,377.6726528,276.8320793,173.1298684,221.0926176,252.6674525,84.97766001,123.9829245,694.5975207,379.6152775,114.5387791,46.74036376,335.6617857,262.1398905,309.5256705,298.0020015
DTDP-Glucose,626904.6951,855905.6857,82780.42152,156741.9703,269581.1408,128433.512,185419.281,250083.2511,53283.80283,1234985.246,297105.9791,165395.3277,138815.7528,110057.2374,174372.2515,120249.2452,186274.899,585593.1482,149649.7416
Cystathionine,389.7636083,286.9708453,40.79595696,15.4299143,164.6955737,85.38558126,60.22023423,196.1456697,22.21753212,156.466057,23.14399073,620.1008818,77.7491417,72.51996945,14.0712569,76.67013614,43.51273737,315.2431115,62.73232249
NAD,635.4108229,832.5950668,404.115772,95.86254985,589.0112325,559.2390453,197.0993811,740.3922154,217.2467636,1117.250859,544.5227303,662.170704,575.1566987,533.6496793,291.1736308,498.4490268,355.4258616,1146.306633,433.2550178
Cystine,422.4196539,1413.815602,1409.926936,137.8053806,385.2707523,450.4846556,251.4036,520.6226586,662.203811,1311.356693,313.8781064,1056.030189,2081.142837,346.1577726,870.0856926,707.7815485,2868.52627,1194.069737,194.4066278
CDP-Ethanolamine,25.8665657,32.24409428,7.414530294,1.727715388,16.14751562,16.70275852,4.235836825,11.80553711,1.333558847,11.98730145,22.1047517,22.62405413,9.44216072,5.986581726,11.62009347,15.41582346,1.709353957,15.6965538,5.347316643
S-Adenosylmethionine,231.1487365,137.3035424,16.99059651,81.15904104,197.4947581,103.2231064,109.1824941,144.8438979,43.63788267,190.2170404,224.8716684,288.2218303,58.54718476,66.48299016,53.68522194,40.37961563,104.2976355,67.99167253,152.72425
Guanosinediphosphatemannose,129.0313835,257.0569423,38.46277524,74.88255317,156.8459255,101.6212277,56.28995338,166.3574683,49.7805208,174.8089349,176.8940556,119.0181083,39.19765651,68.78735436,61.59171829,45.19148996,69.99422991,147.4919494,89.59399458
Cortisol,9.31949687,9.205512977,1.601138696,14.50602712,7.266285431,8.928453792,6.608047783,11.5487889,5.267541022,12.25245018,16.38899079,7.947006818,4.127085438,7.098321794,2.432374414,3.109800919,24.92842161,14.97116909,11.54734703
Pyrocatechol,32.93810536,314.2742319,3.352619928,14.72256643,72.49363562,25.579456,3.755698167,151.9752881,14.90964444,128.9514904,7.103892747,146.9067801,166.3437899,187.9686264,28.8082827,52.84080547,46.26865811,149.5978884,11.83624363
Hydroquinone,2441.88876,25010.72605,287.5985153,1247.51575,5703.343829,1891.252138,382.0690405,12653.24903,1039.426621,11150.51747,455.88844,11406.38782,12568.23161,15223.94234,2318.360247,4503.269618,3587.070149,12000.05876,689.9447109
Pyridoxamine,12.90904885,18.47375856,6.716169531,13.82654964,32.31190341,19.65543384,4.659026192,26.66838197,6.291692494,15.304679,8.378253658,23.45999334,7.353496168,7.64117395,6.863929342,10.19681125,28.4816819,9.945786541,18.02527389
Salicylate,232.8497563,209.2856775,177.4610214,136.3476596,702.1585761,198.6384295,226.839788,15227.66527,192.0803023,340.9150576,2192.477472,515.5833025,221.4454897,116.9990534,217.7254436,198.1585875,480.7603893,625.1926534,585.20618
Uracil,2302.687091,981.2463401,1887.784938,1676.390551,6318.746752,5331.600941,1252.08159,9615.064703,1642.76043,1719.748249,700.1121019,3047.657648,7665.773158,383.5290933,1097.88284,399.1392798,10388.8792,1692.820766,500.1405338
3-(2-Hydroxyphenyl)propanoate,202.9077068,75.68724531,3.182728584,87.51323603,356.1069324,48.5060713,37.31915281,93.03401576,64.20340613,55.03417727,37.30245551,115.5652368,58.0116563,135.6552251,416.253757,78.58290307,57.73432404,83.79371075,107.4984953
Deoxyuridine,116.9611192,70.33333249,100.9599916,61.15057652,418.0138699,217.830341,62.98305575,140.557759,125.3313696,180.4321768,53.4653096,242.1285496,55.76396353,43.30114457,177.880561,63.42212794,117.293226,116.4016465,96.7715215
Hippurate,16167.73742,88380.49371,2099.959007,6430.769606,22812.92143,7193.894536,5213.476421,8501.048003,6639.989179,29889.53323,4134.348941,14425.76421,58607.75371,39142.61964,11962.16501,15640.57431,27562.40197,47586.76419,14994.12144
Kynurenate,7575.188302,12234.45899,3538.646453,3313.355203,10560.77736,7079.066246,2348.582143,11859.90503,2794.987443,10664.12813,4575.687947,12309.92936,7419.367797,4434.917007,1932.401497,3560.148581,11393.26028,11719.97201,4565.047346
Anthranilate,549.4273906,228.2937438,68.84320222,255.3582127,502.8250437,279.9955594,135.4783884,368.0189793,127.2620415,165.8180848,106.7649969,247.8054705,229.5462789,127.7556363,81.3998377,176.26884,485.9521826,391.9267898,291.3642803
N-Formylmethionine,3134.845168,1885.485775,290.7481721,2063.308082,1705.879087,1184.716129,1132.881107,2121.450188,1856.734516,1730.627545,2948.278073,2166.885348,1206.28265,663.6655286,485.5313184,1314.498971,3283.242968,2170.711704,1942.372734
Cytosine,334.0225349,275.0031745,70.39943377,219.7890478,398.0931217,221.8404178,138.7438652,380.9596589,177.855463,260.4969603,322.5600059,401.8048964,178.4562184,158.917933,149.5021658,232.9584623,511.7521049,281.8977137,370.671994
2-Hydroxybutyrate,1093.138942,11369.35531,1445.043074,1670.620095,5079.159548,4068.754817,1750.54371,6307.750138,2344.917817,6815.217723,6465.958939,4044.415601,4018.685709,1936.272924,1308.93101,3531.767291,3143.829218,7465.24885,3666.145155
Alpha-hydroxyisobutyrate,1093.138942,11369.35531,1445.043074,1670.620095,5079.159548,4068.754817,1750.54371,6307.750138,2344.917817,6815.217723,6465.958939,4044.415601,4018.685709,1936.272924,1308.93101,3531.767291,3143.829218,7465.24885,3666.145155
Pyruvate,64.63323928,58.46497742,15.8502575,89.2956298,89.23649635,161.0049264,44.65797476,129.3957711,129.0581187,106.3453569,147.9312842,158.0005713,91.30136657,94.17755613,31.06685894,34.60892759,210.7426552,123.6641453,122.2932949
3-(4-Hydroxyphenyl)pyruvate,323.548186,1457.116387,580.8896225,295.5565489,390.8263735,615.6327158,737.4479414,231.2714279,137.2455409,613.4823271,171.3993674,465.8718221,73.85837278,64.48431393,181.7640822,1393.373348,270.2600242,581.0910738,686.8300104
p-Hydroxyphenylacetate,11942.862,13247.62378,7200.079674,3894.474242,16236.99786,11094.37072,7032.106751,21328.70655,8576.157273,10683.04707,13622.50424,13302.22186,7775.822933,7258.552157,4225.573456,9642.710862,24836.17252,25818.27058,10588.95292
3-Hydroxyphenylacetate,991.3397081,1004.914062,475.9291309,299.2245856,1244.199659,946.6555481,555.6725517,1620.398802,693.386454,825.2193276,1044.676517,1354.521641,512.4055469,555.0246557,337.7626206,772.6923434,1825.878372,2050.556,792.4561452
"2,5-Dihydroxybenzoate",53.03685564,408.0448231,7.621242492,106.1061648,49.23627543,42.6796656,34.14067673,291.196558,41.93986957,72.17204743,38.08883699,356.6944796,313.5708791,161.9915992,38.58135301,91.93780548,47.78641432,195.4679251,81.98158871
Dehydroascorbate,1321.210418,1065.91234,144.3477284,511.0741184,760.8562506,1338.176397,432.9006511,621.9455094,639.0286269,1833.857694,1041.948982,1157.621927,249.619689,763.2378345,407.9751374,800.1020375,912.2618835,2186.669919,939.4452149
3-Hydroxyanthranilate,2185.257867,2358.33248,1085.575517,659.8489264,2897.390349,1880.137104,1222.979603,4061.075981,1618.504801,1786.923917,2414.708067,2372.289382,1415.766068,1451.28624,702.1277199,1737.439664,4050.722706,4854.812282,1965.578266
Xanthine,162868.0595,189950.4911,94346.05747,63240.40335,208512.1449,151210.9603,101464.4474,312577.6545,117864.2585,145846.979,187656.0892,205581.0025,100367.5359,99152.17035,58100.81578,144766.878,312216.8433,410180.7526,151959.5228
Homogentisate,247.3325511,1085.95708,68.20882299,171.1755482,288.0517611,384.7237602,152.740696,511.2320301,210.3204008,662.0820513,379.0952673,584.9650559,620.9743519,205.276178,168.4038787,163.3288677,913.7876086,666.9990289,214.1937728
Pantothenate,4493.134602,4871.66498,2016.723545,18603.16654,5055.968689,15698.52422,2797.592322,5621.813667,7474.386785,11240.02651,7723.349981,16210.77152,8386.78574,7412.088152,607.7911863,4760.512977,26020.31695,7435.514503,5406.023731
Hydroxyphenyllactate,19672.82587,19902.12834,2779.22446,20634.25815,11100.95775,18081.16434,7758.591307,19674.37321,14719.9036,13015.00579,27076.2615,36571.09034,20837.4455,5380.64298,5688.553999,23222.60062,47150.26268,28031.89095,12659.27248
Cytidine,675.4683882,496.6691341,89.34965074,65.75138543,167.6958555,153.4680477,18.13475592,302.9058317,5.141561115,448.3482744,718.2056644,353.5874794,2.305170667,307.1594357,86.61927907,267.528205,6.40661017,471.3199869,427.8402768
Oxalate,100495.0696,150845.8787,66703.28575,109112.8158,295256.2235,162114.2313,56990.81335,243253.4969,121964.5439,336870.6323,162698.7954,204487.5647,122586.6407,121024.2758,43345.83387,99813.48958,244115.1294,260550.0275,202528.2604
Deoxyribose,89.19386551,171.6150507,56.32186825,74.2540767,333.2577127,133.4331891,54.21888137,189.080086,113.9252616,357.1207782,121.6663757,193.8361928,94.74277307,114.3961852,34.13375022,62.15036774,238.5348364,257.001573,158.0321109
Lactate,1872.508867,2768.863356,1319.05148,2142.843556,5877.621481,3136.485553,1042.888033,4726.493747,2309.85239,6236.513469,2923.418533,3966.579302,2431.321806,2190.875136,762.0907396,1864.811511,4621.490289,4607.41212,3998.720444
Orotate,5431.82232,3854.612511,13857.9775,14095.55567,8045.563124,10539.22745,2801.044951,9090.832128,14868.86206,3939.962807,39379.29554,9863.104266,13660.78749,3258.511916,1291.706479,8773.996144,28669.60675,19146.16866,12669.71231
O-Acetylserine,120.6372803,215.4016406,81.37853743,71.82782701,180.2418518,71.27409395,49.23580527,141.3674934,77.43803034,227.4751132,25.71378957,130.9394965,84.48643503,61.10952753,32.82725254,131.4997209,228.4793342,223.7776949,169.9159469
